restaurant,review_id,date,stay_date,user,badge,rating,title,review
Cafe-bistrot David,892949713,2023-06-01 00:00:00,June 2023,Esztergrace,6 reviews,5,Michelin guide indeed,Firstly I must commend the staff for being so friendly kind and considerate and they are just so amazing. From being greeted promptly with nice cheerful face at the door to being sat down … to being brought a chair just to put my handbag....
Cafe-bistrot David,891252363,2023-05-21 00:00:00,May 2023,Guide734141,2 reviews,1,Less salt please,"ASK FOR LESS SALT. I regret going there yesterday for the first time, as both the pie and steak were so salty. The three of us spent over RM700 for lunch but had to suffer in silence as we did not want to spoil things..."
Cafe-bistrot David,879368938,2023-02-20 00:00:00,February 2023,153ireneh,20 reviews,5,Good food Good service,"Perfect place to have good food and good service. Love everything about this restaurant. The restaurant is very clean. We really enjoyed the fresh Mussels, Caesar salad, Angus beef and their good selections of desserts. The service provided by Razih from Philippines was excellent. We..."
Cafe-bistrot David,870882060,2022-12-07 00:00:00,December 2022,Zetster,563 reviews,2,Could’ve been better.,"My brother booked the dinner at Bar X Grill, since its newly opened(upstairs). His family has been a regular at Cafe Bistrot David downstairs. First impression was good, the server was the same from downstairs and always helpful. We ordered a few items from the..."
Cafe-bistrot David,836093319,2022-04-26 00:00:00,April 2022,Roger C,358 reviews,5,Everything about this place is excellent,"When someone suggests going to a pie restaurant you have your doubts. However, this place is so much more. The ambiance is excellent, the service is first rate and the food is superb. The sharing pate platter was large, perfectly presented and more than enough..."
Cafe-bistrot David,827037744,2022-02-06 00:00:00,February 2022,Alcoholislifesblood,7 reviews,4,Fabulous,"I have been wanting to visit for quite awhile. To be honest I was not going with high hopes. I have oft been led astray by hype before.
I must say, I was very pleasantly surprised! The atmosphere was bustling and busy but the plastic..."
Cafe-bistrot David,820812929,2021-12-03 00:00:00,December 2021,Kevin O,117 reviews,5,Fantastic Dining Experience,Loved the ambience and atmosphere of this place. The attention to detail by David was great. He even got involved in the service and was ever ready to please guests. Had him recommend me a special of air-flown Burgundian mussels and snails which were both...
Cafe-bistrot David,818888623,2021-11-16 00:00:00,November 2021,ditchnapper,431 reviews,4,Charming,"Excellent dinner here - duck leg confit, great pasta, fresh salad.  Good wine by the glass.  Great service, including attention from David himself.  Added to our list of go-to restos for KL"
Cafe-bistrot David,814255279,2021-10-13 00:00:00,October 2021,Seacroft,634 reviews,4,David Delight,"Finally got to eat in this charming neighbourhood bistro after reading so much about it and encouraging recommendations. Essentially went for the pies and we weren't disappointed. The three of us all enjoyed different offerings and loved them all. Chicken, steak and mince with cheese..."
Cafe-bistrot David,777510439,2020-11-20 00:00:00,October 2020,Carol W,74 reviews,5,"Superlative food, ambiance and service!","We live near the Twin Towers in Kuala Lumpur so only became aware of CB David when they advertised their Reuben sandwich (on Facebook), which looked delicious. I ordered via Whatsapp, directly with owner David and he suggested that it would taste better fresh at..."
Cafe-bistrot David,775269885,2020-10-23 00:00:00,October 2020,BenYorkie,"1,330 reviews",3,Disappointed - Again,"Our third visit for dinner to what is a lovely restaurant inside; very comfortable and relaxed decor.
And the staff are very friendly, very helpful and very attentive.
But we were unhappy on ourt last visit -  we felt the food could have been to..."
Cafe-bistrot David,774127500,2020-10-13 00:00:00,October 2020,Jdread2000ad,159 reviews,4,Yummy Roast Duck + Others,"Try this place out after hearing about it. First and foremost, reservation his recommended if you plan to come. Not just because its quite popular at the moment but the seating space is a bit limited. Request for table unless you are ok with seating..."
Cafe-bistrot David,765503344,2020-08-18 00:00:00,August 2020,ymt888,"1,421 reviews",3,Bookings recommended,"I dropped in on a weekday, expecting to be able to get a table but was told it was fully booked and was offered to be seated at the bar. Actually seats at the long bar was not bad as we can get a view..."
Cafe-bistrot David,761277555,2020-07-24 00:00:00,July 2020,BenYorkie,"1,330 reviews",4,A Tale of Two Sittings,"Finally back in KL after being stranded overseas, and able to enjoy our food again in and around Taman Tun.
We went on 9 July with a friend of ours to try C-B David for the first time.  And were delighted.  Especially to find a..."
Kampachi Plaza33,894431196,2023-06-11 00:00:00,June 2023,DayTrip58135799439,1 review,5,Great Sunday buffet!,"Great Sunday lunch buffet, many thanks to my server Luthfi who suprised me with a special desert :^)"
Kampachi Plaza33,894428718,2023-06-11 00:00:00,June 2023,Trip41964873862,1 review,5,Good,The food here is really good. Very attentive staffs especially Zul. Very chill place to have lunch and for celebration.
Kampachi Plaza33,893361884,2023-06-04 00:00:00,June 2023,Navigate44230838943,1 review,5,Perfect family dinner,Excellent selection of food matches with the excellent service and attention to detail from the staff
Kampachi Plaza33,893213905,2023-06-03 00:00:00,June 2023,DayTrip13176467009,1 review,5,Very happy customer!,"The restaurant staff is wonderful - they are attentive, proactive, and committed to providing guests with an excellent dining experience.

The ambience is great and food is wonderful and high quality as well. 10/10 recommended!"
Kampachi Plaza33,892958454,2023-06-01 00:00:00,February 2023,Tyka A,1 review,5,Fresh Foods & Great service,Everything was very great staff are all good and very professional. We celebrated a friend’s birthday day and they gave a card with your photo in it. Food are all fresh and there’s a lot of varieties of foods. Highly recommended to go here with...
Kampachi Plaza33,892148822,2023-05-27 00:00:00,May 2023,Marcus C,1 review,5,Excellent service,Excellent service by all staff members. I was served by Jenny and Chyler.  Really enjoyed the food especially the udon and oyako don. Would not hesitate to come again with my family.
Kampachi Plaza33,892106336,2023-05-27 00:00:00,May 2023,PaulineOng9999,2 reviews,5,Birthday Lunch,"I have been to Kampachi Plaza 33 for a few times to celebrate birthday and anniversary ocassion. They always provide us good hospitality. Special thanks to Jeny, Christy, Chyler and Shaha."
Kampachi Plaza33,891131410,2023-05-20 00:00:00,May 2023,GrandTour65190620434,1 review,5,Great food work good service,"We did our son’s 7th birthday dinner with the grandparents & family as my son loves Japanese food. Food was good & service was superb. Jenny, Zul & the service team did a good very good job in ensuring all my guests are well taken..."
Kampachi Plaza33,891130614,2023-05-20 00:00:00,May 2023,SriLathaRishya,17 reviews,5,Superb Dinner 🥰,"Excellent service, food was fantastic, very fresh shashimi and creative presentation of dishes. Ambience was great and thank you for the special surprise birthday dessert…!"
Kampachi Plaza33,891128260,2023-05-20 00:00:00,May 2023,Sunshine51230456809,1 review,5,Excellent Service,"Food was good. Service was excellent. Ms Chyler and team were very friendly, and provided good service beyond expectation. Right choice for anniversary dinner. Thanks!"
Kampachi Plaza33,891005247,2023-05-19 00:00:00,May 2023,NorthStar25613165697,1 review,5,Great Service and Very Enjoyable Dinner.!!,"It was really a great experience tonight, though we have been there quite a few times, was always like their service, their food is always great and fresh, that's really nothing to complain about but tonight even more like we are getting 5 stars service..."
Kampachi Plaza33,890254467,2023-05-14 00:00:00,May 2023,Evon L,1 review,5,Great Japanese buffet in town,Great service and food! Waiters were attentive and food was fresh with good selections. Tho it was abit warm during my visit so the restaurant might want to look into adding extra aircond units.
Kampachi Plaza33,889323447,2023-05-07 00:00:00,May 2023,628selinak,4 reviews,5,Unforgettable Lunch,"Whenever I wanted to celebrate a special day, Kampachi is THE place for me. Good food & attentive staff. Today I decided to have an early birthday treat to myself with my son. Thanks to the manager Jenny, Chyler & Ashen, they gave me a..."
Kampachi Plaza33,888458551,2023-05-01 00:00:00,May 2023,Ai Kim N,2 reviews,5,Great Makan Experience ,I love Kampachi especially the Plaza 33 one because the staff is so attentive (special shout out to Zul and Chyler) and food is great as ever!! Cake was great too.
Kampachi Plaza33,888297368,2023-04-30 00:00:00,April 2023,Connector64719243894,1 review,5,Lunch buffet,"Food is delicious, and their staff are very nice and friendly, service is good. Recommended for japan cuisine lovers!"
Kampachi Plaza33,887608512,2023-04-25 00:00:00,April 2023,Adrian T,1 review,5,Memorable 5 stars personal service ,"The service by their staffs goes over and beyond ordinary. Their Manager Ms Jenny is warm, kind, friendly and thoughtful. When she knew wee were there for a birthday celebration, she went the extra mile to prepare a simple dessert with candles and for rhe..."
Kampachi Plaza33,887480281,2023-04-24 00:00:00,April 2023,Melisa T,12 reviews,5,Quality quality quality!,"Exceptional quality, variety and top notch service esp. by Jenny, the manager. The buffet lunch was delicious and as we were celebrating a birthday, we were made to feel special. It was an amazing lunch enjoyed by everyone in the family. Well done to the..."
Kampachi Plaza33,887366945,2023-04-23 00:00:00,April 2023,karunamah,5 reviews,5,Delicious and wonderful service,"Thank you so much to the Kampachi team at Plaza 33. We were there to celebrate my husband’s birthday. The service was amazing and they really took care of us. When the scallops ran out and the staff overheard us say we will wait, they..."
Kampachi Plaza33,887353211,2023-04-23 00:00:00,April 2023,Getaway00345924529,1 review,4,Great place for a meal and meet up with friends.,The food is good. Choice is a bit limited but whatever available was tasty. Nice setting and environment.
Kampachi Plaza33,886572901,2023-04-17 00:00:00,April 2023,Freedom768373,1 review,5,Pleasant dining experience,"We had a family dinner at Kampachi Plaza 33 to celebrate my son's birthday recently. Sincere thanks to the service crew, especially Ms Jenny and Zul  for the excellent service and good foods. A very pleasant dining experience. Highly recommended."
Kampachi Plaza33,886423861,2023-04-16 00:00:00,April 2023,Explorer28004510710,1 review,5,Sure to return !,"Had a birthday celebration for a family member  here. We have had a good dining experience. Good food variety, fresh and good quality sashimi and attentive service team.

Thank you  for the complimentary cake ( from EQ Hotel)  arranged by Jenny and the singing of..."
Kampachi Plaza33,886406474,2023-04-16 00:00:00,April 2023,33vivient,2 reviews,5,Highly recommended,"Food and service is superb, great place for Sunday lunch with friends or family. The only improvement perhaps is the building aircon temperature which is a bit too warm. Other than that everything else is perfect 👍🏻"
Kampachi Plaza33,885919254,2023-04-12 00:00:00,April 2023,22TinnyZ,3 reviews,5,Highly recommend this place for Omakase lunch and dinner,"We usually come here for Omakase at the frequency of 2-3 times per week. 

The food’s fresh, the chef’s skilled in making the Omakase dishes. The staff are friendly. 

Special thanks to Ms Jenny, Ms Chyler, Ms Christie and all the service crew. They all..."
Kampachi Plaza33,885749723,2023-04-11 00:00:00,April 2023,Cindy T,1 review,5,Great food! Delicious and wonderful experience,"Had a birthday event at Kampachi recently. Great selection of Japanese Buffet with good and friendly service. The fish varieties served is impressive. We had a wonderful experience in Kampachi. Chyler was very attentive to our special  request for birthday girl. Overall, good food with..."
Kampachi Plaza33,885712019,2023-04-11 00:00:00,April 2023,yvonnebebe,2 reviews,5,Excellent service   ,"Went dining with my family for lunch at kampachi.
Ms. Ong was the staff serving us throughout our meal, she provided us with her excellent service and foods suggestion was all super delicious. We all have a wonderful meal. Thank you so much for making..."
Kampachi Plaza33,885144748,2023-04-07 00:00:00,April 2023,law_david,19 reviews,5,"Great setting, excellenyt service and delicious food",The ambience was excellent and the service impeccable.  There was a Sakura Spring Festival menu and we chose the Sakura Ebi and Daifuku (mochi) from there.  All the staff were very attentive and the supervisor explained various recommendations.  The food was delicious though the Sakura...
Kampachi Plaza33,884017907,2023-03-29 00:00:00,March 2023,Garam N,1 review,5,"Excellent service, fresh seafood ","Booking via their website was easy and simple. Shortly after booking the manager of the restaurant called and confirmed my booking as well as providing me additional information in regards to their offerings as I am celebrating my friend birthday on the day.

Parking was..."
Kampachi Plaza33,884008750,2023-03-29 00:00:00,March 2023,Adeline S,1 review,5,Excellent buffet lunch,Celebrated my husband's birthday. The buffet spread is great with very fresh sashimi. Service was excellent and staff were very attentive. Special thanks to Chyler for making  the day extra special.
Kampachi Plaza33,882738341,2023-03-19 00:00:00,March 2023,n707jt,5 reviews,5,Great food and excellent service!,Sincere thanks to Ashen and team for making me and my wife's lunch an excellent one today! Great food coupled with amazing service is certainly a rarity these days and I am happy to see that Kampachi. Thank you!
Kampachi Plaza33,882695501,2023-03-19 00:00:00,March 2023,Traveler33772103403,1 review,5,Best Japanese Buffet in town!,"Food is excellent, it is one of the best Japanese Buffet in KL for many years and thank you to waiter name JR for giving us best experience while dining here!"
